idx,id,name,brand,img_url,card_url,convenience,cafe,restaurant,oil,movie,mart,shopping,hospital,edu,tel,car,travel,transportation
230,2084,MG Life 체크카드,MG새마을금고,https://d1c5n4ri2guedi.cloudfront.net/card/2084/card_img/21915/2084card.png,https://card-gorilla.com/card/detail/2084,,"커피전문점 10% 할인 - 스타벅스, 커피빈, 탐앤탐스, 카페베네 - 커피할인 업종 내 월 최대 5천원까지 할인 - 일 1회, 월 2회  통합할인한도 - 전월실적 20만원 미만: 통합할인한도 0원 - 전월실적 2\0만원 이상 ~ 50만원 미만: 통합할인한도 5,000원 - 전월실적 50만원 이상 ~ 80만원 미만: 통합할인한도 10,000원 - 전월실적 80만원 이상: 통합할인한도 15,000원  유의사항 - MGLife는 전월 이용실적에 따라 모든 할인서비스에 통합하여 할인의 한도를 정하고 있습니다",,,,,"소셜커머스 10% 할인 - 티몬, 쿠팡, 위메프",,,,,,
231,2081,MINT 체크카드,MG새마을금고,https://d1c5n4ri2guedi.cloudfront.net/card/2081/card_img/21918/2081card.png,https://card-gorilla.com/card/detail/2081,"편의점 5% 할인 - CU, GS25, 세븐일레븐 - 건당 이용금액 1만원 이상 시 적용 - 월 최대 3천원까지 할인 - 일 1회, 월 2회  통합할인한도 - 전월실적 30만원 미만: 통합할인한도 0원 - 전월실적 30만원 이상 ~ 50만원 미만: 통합할인한도 3,000원 - 전월실적 50만원 이상 ~ 70만원 미만: 통합할인한도 10,000원 - 전월실적 70만원 이상 ~ 100만원 미만: 통합할인한도 15,000원 - 전월실적 100만원 이상 ~ 150만원 미만: 통합할인한도 20,000원 - 전월실적 150만원 이상: 통합할인한도 25,000원  유의사항 - MINT체크카드는 전월 이용실적에 따라 모든 할인 서비스에 통합하여 할인의 한도를 정하고 있습니다",,,,"영화 2,000원 할인 - CGV, 메가박스, 롯데시네마 - 건당 이용금액 1만원 이상 시 적용 - 월 1회  통합할인한도 - 전월실적 30만원 미만: 통합할인한도 0원 - 전월실적 30만원 이상 ~ 50만원 미만: 통합할인한도 3,000원 - 전월실적 50만원 이상 ~ 70만원 미만: 통합할인한도 10,000원 - 전월실적 70만원 이상 ~ 100만원 미만: 통합할인한도 15,000원 - 전월실적 100만원 이상 ~ 150만원 미만: 통합할인한도 20,000원 - 전월실적 150만원 이상: 통합할인한도 25,000원  유의사항 - MINT체크카드는 전월 이용실적에 따라 모든 할인 서비스에 통합하여 할인의 한도를 정하고 있습니다","대형마트 5% 할인 - 이마트, 홈플러스, 롯데마트 - 건당 이용금액 5만원 이상 시 적용 - 월 최대 1만원까지 할인 - 일 1회, 월 2회  통합할인한도 - 전월실적 30만원 미만: 통합할인한도 0원 - 전월실적 30만원 이상 ~ 50만원 미만: 통합할인한도 3,000원 - 전월실적 50만원 이상 ~ 70만원 미만: 통합할인한도 10,000원 - 전월실적 70만원 이상 ~ 100만원 미만: 통합할인한도 15,000원 - 전월실적 100만원 이상 ~ 150만원 미만: 통합할인한도 20,000원 - 전월실적 150만원 이상: 통합할인한도 25,000원  유의사항 - MINT체크카드는 전월 이용실적에 따라 모든 할인 서비스에 통합하여 할인의 한도를 정하고 있습니다",,,,"이동통신요금 5,000원 할인 - SKT, KT, LGU+ 이동통신요금",,,
232,331,New 현대백화점 체크카드,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/331/card_img/20575/331card.png,https://card-gorilla.com/card/detail/331,,"스타벅스, 커피빈 20% 캐시백 할인 - 통합 일 1회, 월 2회, 월 5천원까지 할인   * 백화점, 대형마트, 미8군 내 입점 매장은 할인대상에저 제외   * 커피 브랜드의 상품권, 선불카드 구입, 충전 등의 이용금액은 할인 제외 - 전월 국내가맹점 이용실적 20만원 이상 시 제공   * S-OIL 주유/충전금액은 전월 국내가맹점 이용 실적에서 제외",,"S-OIL 주유소 캐시백 할인 - 할인금액 : 리터당 40원 (LPG는 충전금액의 3%) - 일 1회, 월 6회, 1회 이용금액 최대 10만원까지 할인   * 주유(휘발유, 경유), LPG 통합 적용 - 캐시백 할인은 S-OIL에서 고시하는 휘발유가를 기준으로 주유량(리터)를 산정하여 제공합니다 S-OIL 주유소 캐시백 할인 - 할인금액 : 리터당 40원 (LPG는 충전금액의 3%) - 일 1회, 월 6회, 1회 이용금액 최대 10만원까지 할인   * 주유(휘발유, 경유), LPG 통합 적용 - 캐시백 할인은 S-OIL에서 고시하는 휘발유가를 기준으로 주유량(리터)를 산정하여 제공합니다    * 경유 주유 금액 할인도 휘발유 가격 기준으로 적용됨 - S-OIL 이용금액은 전월 국내가맹점 이용 실적에 포함되지 않습니다","CGV, 메가박스, 롯데시네마 캐시백 할인 - 영화결제금액 3천원 이상 ~ 1만원 미만 : 3천원 할인 - 영화결제금액 1만원 이상 : 6천원 할인 - 인터넷 예매의 경우 할인 불가 - 통합 월 1회, 연 6회 - 전월 국내가맹점 이용실적 20만원 이상 시 제공   * 단, 카드수령일로부터 다음달 말일까지는 전월실적이 20만원 미만시에도 월 3천원 할인 적용   * S-OIL 주유/충전금액은 전월 국내가맹점 이용 실적에서 제외   * 일부 영화관의 경우 영화관과 매점은 동일한 가맹점코드로 운영합니다",,현대백화점 5% 현장할인 - 현대백화점에서 구매한 금액의 5% 즉시 할인,,,,,,
233,2370,NU Uniq Check,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/2370/card_img/25307/2370card.png,https://card-gorilla.com/card/detail/2370,"CU, 세븐일레븐, GS25 1% 적립 ※ 오프라인 일반 결제 건에 한하며, 백화점, 대형할인점, 면세점, 공항, 미군부대 등 일부 입접매장 적립 제외","스타벅스, 투썸플레이스, 이디야 1% 적립 - 스타벅스 : 스타벅스 공식 앱을 통한 사이렌오더 결제 건 포함  ※ 커피 브랜드의 상품권, 선불카드 구입/충전 등의 이용금액 적립 제외  ※ 백화점/대형할인점/면세점/공항/미군부대 등 일부 입점 매장 적립 제외",,,,,해외 가맹점 1% 적립 - 해외 온/오프라인 가맹점,,,,,,"대중교통 1% 적립 - 대중교통 : 시내버스, 지하철 후불교통 이용금액 "
234,762,NU 오하쳌(오늘하루체크),우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/762/card_img/26507/762card.png,https://card-gorilla.com/card/detail/762,,"[EAT] 커피 5% 캐시백 - 스타벅스 사이렌오더 * 매출 건당 최대 1천원까지 캐시백 제공 * 스타벅스 공식 앱을 통한 사이렌오더 결제 건에 한하며, 스타벅스카드(e-gift카드 포함) 구매 및 충전, 백화점/대형할인점 내 매장이나 미군부대 등 임대매장 결제 건은 서비스 적용 제외 * 네이버페이, 우리페이로 승인된 매출은 캐시백 제외",,,,,"[SHOPPING] 온라인 쇼핑 5% 캐시백 - 쿠팡, 무신사, 지그재그",,,"[LIFE] 이동통신 5% 캐시백 - SKT, KT, LG U+, CJ헬로모바일, KTM모바일, U+알뜰모바일",,,"[LIFE] 대중교통(버스/지하철) 5% 캐시백 - 대상 : 시내버스, 지하철 후불교통 이용금액"
235,2077,ON 체크카드,MG새마을금고,https://d1c5n4ri2guedi.cloudfront.net/card/2077/card_img/21922/2077card.png,https://card-gorilla.com/card/detail/2077,,,,,"온라인 CGV 예매 3천원 할인 - CGV - 온라인, 모바일에서 CGV 예매 시 할인 - 건당 이용금액 2만원 이상 시 3천원 할인 - 월 1회 한도  통합할인한도 - 전월실적 15만원 이상 ~ 30만원 미만: 통합할인한도 5천원 - 전월실적 30만원 이상: 통합할인한도 1만원  유의사항 - 각 할인서비스 할인금액은 통합할한도 내에서 적용됩니다",,,,,,,,
236,2078,ON 후불교통 체크카드,MG새마을금고,https://d1c5n4ri2guedi.cloudfront.net/card/2078/card_img/21921/2078card.png,https://card-gorilla.com/card/detail/2078,,,,,"온라인 CGV 예매 3천원 할인 - CGV - 온라인, 모바일에서 CGV 예매 시 할인 - 건당 이용금액 2만원 이상 시 3천원 할인 - 월 1회 한도  통합할인한도 - 전월실적 15만원 이상 ~ 30만원 미만: 통합할인한도 5천원 - 전월실적 30만원 이상: 통합할인한도 1만원  유의사항 - 각 할인서비스 할인금액은 통합할한도 내에서 적용됩니다",,,,,,,,
237,2074,ON˟WE BARE BEARS 체크카드,MG새마을금고,https://d1c5n4ri2guedi.cloudfront.net/card/2074/card_img/21925/2074card.png,https://card-gorilla.com/card/detail/2074,,,,,"온라인 CGV 예매 3천원 할인 - 온라인, 모바일에서 CGV 예매 시 할인 - 건당 이용금액 2만원 이상 시 3천원 할인 - 월 1회 한도  통합할인한도 - 전월실적 15만원 이상 ~ 30만원 미만: 통합할인한도 5천원 - 전월실적 30만원 이상: 통합할인한도 1만원  유의사항 - 각 할인서비스 할인금액은 통합할한도 내에서 적용됩니다",,,,,,,,
238,337,ONE 체크카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/337/card_img/20582/337card.png,https://card-gorilla.com/card/detail/337,,,"음식점, 커피전문점 업종 0.2% 추가 포인트리 적립 - 음식점: 일반음식점, 한식, 중식, 일식, 양식, 뷔페, 패밀리 레스토랑 업종",,,,,,,"이동통신요금 0.2% 추가 포인트리 적립 - 제공조건: 이동통신요금(SKT, KT Olleh, LGU+) 자동납부 등록",,,"대중교통(버스,지하철), 택시 0.2% 추가 포인트리 적립 - 대중교통 적립대상: RF교통기관 업종 (KB국민카드 가맹점 업종 기준)"
239,2080,PEACH 체크카드,MG새마을금고,https://d1c5n4ri2guedi.cloudfront.net/card/2080/card_img/21919/2080card.png,https://card-gorilla.com/card/detail/2080,,"커피 1,000원 할인 - 스타벅스, 커피빈, 파스쿠찌 - 건당 이용금액 1만원 이상 시 적용 - 일 1회, 월 2회 - 백화점, 대형마트, 쇼핑몰 등 대형가맹점 입점 매장은 할인에서 제외될 수 있음  통합할인한도 - 전월실적 30만원 미만: 통합할인한도 0원 - 전월실적 30만원 이상 ~ 50만원 미만: 통합할인한도 3,000원 - 전월실적 50만원 이상 ~ 70만원 미만: 통합할인한도 10,000원 - 전월실적 70만원 이상 ~ 100만원 미만: 통합할인한도 15,000원 - 전월실적 100만원 이상 ~ 150만원 미만: 통합할인한도 20,000원 - 전월실적 150만원 이상: 통합할인한도 25,000원  유의사항 - PEACH체크카드는 전월 이용실적에 따라 모든 할인 서비스에 통합하여 할인의 한도를 정하고 있습니다",,,"영화 2,000원 할인 - CGV, 메가박스, 롯데시네마 - 건당 이용금액 1만원 이상 시 적용 - 월 1회  통합할인한도 - 전월실적 30만원 미만: 통합할인한도 0원 - 전월실적 30만원 이상 ~ 50만원 미만: 통합할인한도 3,000원 - 전월실적 50만원 이상 ~ 70만원 미만: 통합할인한도 10,000원 - 전월실적 70만원 이상 ~ 100만원 미만: 통합할인한도 15,000원 - 전월실적 100만원 이상 ~ 150만원 미만: 통합할인한도 20,000원 - 전월실적 150만원 이상: 통합할인한도 25,000원  유의사항 - PEACH체크카드는 전월 이용실적에 따라 모든 할인 서비스에 통합하여 할인의 한도를 정하고 있습니다",,"온라인쇼핑 10% 할인 - 위메프, 티몬, 쿠팡",,학원 5% 할인 - 오프라인 학원 업종,,,,
