idx,id,name,brand,img_url,card_url,convenience,cafe,restaurant,oil,movie,mart,shopping,hospital,edu,tel,car,travel,transportation
517,504,씨티 메가마일 아시아나,씨티카드,https://d1c5n4ri2guedi.cloudfront.net/card/504/card_img/21193/504card.png,https://card-gorilla.com/card/detail/504,,,,,"[특별적립] 엔터테인먼트 1,500원당 엔터테인먼트 20 마일리지 적립 - 엔터테인먼트: 아웃백스테이크하우스 (아웃백 딜리버리* 포함), 불고기브라더스, 토다이, 마키토차야, CGV, 메가박스, 롯데시네마   * 아웃백 딜리버리는 아웃백 앱 또는 대표번호(1811-3650)를 통한 전화주문 시에만 특별 적립 대상이며, 기타 배달 앱을 통해 결제하는 경우는 제외 - 1천 마일리지 한도   * 전월 실적 30만원 이상일 경우 특별마일리지 적립 대상이며 30만원 미만일 경우에는 기본 마일리지 적립",,"[특별적립] 쇼핑 1,500원당 5 마일리지 적립",,,,,"[특별적립] 여행 1,500원당 여행 10 마일리지 적립",
518,745,알뜰교통 my pass 마패 신용카드(Hana-BC),하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/745/card_img/27829/745card.png,https://card-gorilla.com/card/detail/745,"편의점 10% 청구할인 - 대상가맹점: GS25, CU, 세븐일레븐 - 할인한도: 1천원/일, 1만원/월 - 할인 횟수 제한 없음 * GS25, CU, 세븐일레븐 국내 매장에 한함 * 온라인 결제 및 대형시설(백화점, 할인점, 쇼핑몰, 휴게소, 공항, 호텔, 리조트)입점 점포 할인 제외 * 최소 결제 금액 및 구매 품목 제한 없음","커피 10% 청구할인 - 대상 가맹점: 스타벅스, 커피빈 - 할인한도: 5천원 / 월 - 할인 횟수 제한 없음 * 스타벅스, 커피빈 국내 매장에 한함 * 상품권 구매/충천 및 대형시설(백화점,할인점,쇼핑몰,휴게소,공항,호텔,리조트) 입점 점포 할인 제외 * 최소 결제 금액 제한 없음",,,,,,,,,,,대중교통 20% 청구할인 - 할인한도: 1만 5천원 / 월
519,742,알뜰교통카드,신한카드,https://d1c5n4ri2guedi.cloudfront.net/card/742/card_img/28951/742card.png,https://card-gorilla.com/card/detail/742,"3대 마트(이마트, 롯데마트, 홈플러스) 주말 10% 결제일 할인 - 이마트, 롯데마트, 홈플러스(기업형 슈퍼마켓 포함, 창고형 할인마트/온라인몰은 제외)   * 상품권 등 비쇼핑 항목은 할인제외 - 통합 일 1회 할인 - 1회 승인금액 5만원까지 할인적용   * 주말할인서비스는 공휴일 여부와 상관없이 “토요일/일요일”에 해당되며, 토요일/일요일 외 공휴일은 해당되지 않습니다   편의점, 병원/약국 10% 결제일 할인(동물병원 제외) - 편의점 업종, 병원/약국 업종 서비스 영역별 각각 일 1회 할인, 월 5회 할인, 1회 승인금액 1만원까지 할인","커피전문점 이용 시 10% 결제일 할인 - 스타벅스, 커피빈, 카페베네, 엔젤리너스 매장 - 통합 일 1회, 건당 1만원, 월 5회 할인적용 - 백화점, 할인점, 면세점 등 일부 쇼핑몰내 입점된 커피전문점은 적용되지 않을수 있음",,,,,,,,,현대해상 다이렉트 자동차 보험 가입 시 3만원 할인 - 현대해상 다이렉트를 통해 30만원 이상 결제 시 결제일 할인,,"대중교통(버스, 지하철) 이용 시 10% 결제일 할인 - 후불교통카드 이용 시 할인적용"
520,2617,어디로든 그린카드,NH농협카드,https://d1c5n4ri2guedi.cloudfront.net/card/2617/card_img/31389/2617card.png,https://card-gorilla.com/card/detail/2617,,"커피 전문점 10% 적립 - 스타벅스, 폴바셋, 이디야 - 현장결제와 각 커피 브랜드 공식앱을 통한 온라인 오더 결제(식음료)에 한함 - e-기프트/배송하기(온라인샵), 상품권, 선불카드 구입/충전 제외 - 백화점, 대형할이점, 쇼핑몰(아울렛) 입점매장의 경우 제외될 수 있음 - 월 최대 5천포인트 적립",,,,,,,,,,,버스/지하철 10% 적립 - 대중교통(시내・마을버스/지하철) 후불교통 이용금액
521,1990,엉 카드,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/1990/card_img/22008/1990card.png,https://card-gorilla.com/card/detail/1990,,"스타벅스 10% 청구할인 - 월 2회, 월 3천원 할인한도 - 전월실적 30만원 이상 시 제공",,,"온라인 영화예매 2천원 청구할인 - 10,000원 이상 결제 시 2,000원 청구할인 - 통합 월1회 제공 - CGV, 롯데시네마 온라인 홈페이지 및 APP 예매시 적용 - 예매대행업체 이용금액은 청구할인 미적용 - CGV의 경우 홈페이지 내 티켓·팝콘 스토어에서 영화관람권을 구매하여 예매하는 경우 청구할인 미적용 - 전월실적 30만원 이상 시 제공",,,,,,,,
522,2242,에너지플러스카드 Edition2,현대카드,https://d1c5n4ri2guedi.cloudfront.net/card/2242/card_img/20991/2242card.png,https://card-gorilla.com/card/detail/2242,,,,"GS칼텍스 이용금액 최대 15% 할인 및 Mobility 업종 이용금액 5% 할인 - GS칼텍스에서 에너지플러스 앱으로 결제 시 15% 청구 할인 - GS칼텍스에서 일반 결제 시 10% 청구 할인 - Mobility 업종에서 결제 시 5% 청구 할인 할인 대상 결제 유형 할인율 월 할인한도 전월 이용금액 30만원 이상 시 전월 이용금액 70만원 이상 시 주유생활편의영역 에너지플러스 앱 결제 15% 2만원 4만원 일반 결제 10% Mobility 업종 (주차·세차·정비) 이용금액 일반 결제 5% 5천원 1만원 *GS칼텍스 이용금액: GS칼텍스가 운영하는 주유소/충전소에서 이용한 고급유/휘발유/경유 주유금액, 전기차/수소차/LPG 충전금액  유의사항 - 전월 이용금액 30만원 미만 시 혜택 제외 - 최초 신규 발급 시 발급월 기준 다음 달 이용 건까지는 전월 이용금액 30만원 미만일 경우에도 30만원 이상 70만원 미만 할인율 적용(GS칼텍스 이용금액 월 최대 2만원 할인 및 Mobility 업종 이용금액 월 최대 5천원 할인) - GS칼텍스가 운영하는 주유소/충전소 이용금액에 한해 할인 혜택 제공 - 할인한도 초과 이용금액에 대해서는 할인 혜택 미제공 - 무이자할부 및 당사에서 제공하는 다른 할인서비스 이용 시 할인 혜택 제외 - 국제브랜드 수수료 및 해외서비스 수수료는 전월 이용금액에 포함되지 않음 - 해외 가맹점 이용 시 별도의 수수료가 부과되니, 국제브랜드 수수료 관련 자세한 내용은 본 가이드북 ‘카드 이용 유의사항’ 참고  전월 이용금액 산정 기준 - 전월 이용금액은 전월 1일~말일까지 에너지플러스카드 Edition2(본인+하이패스카드)의 일시불 및 할부 이용금액임 - 할부, 일부결제금액이월약정(리볼빙) 이용 시 최초 승인일 기준으로 해당월의 이용금액에 포함 - 최초 신규 발급 시 발급월 기준, 다음 달 이용 건까지는 전월 이용금액 30만원 미만도 혜택 제공 - 전표 매입 지연, 매출 취소의 경우 이용금액이 달라질 수 있음 - 결제 취소 시, 취소 발생월이 아닌 승인월 이용금액에서 제외되며, 취소금액으로 전월 이용금액 미충족 시 당월 혜택 미제공 - 대중교통, 하이패스, 도시가스 등 사후 승인 가맹점 이용금액은 매출전표 접수일 기준으로 해당월의 이용금액에 포함  전월 이용금액 합산 제외 기준 - GS칼텍스 이용금액 - 장기카드대출(카드론), 단기카드대출(현금서비스), 연회비, 제수수료, 이자 이용금액 - 공과금 납부액(국세, 관세, 지방세, 지방세외수입, 상하수도요금, 벌과금, 과태료, 인지세, 송달료, 민원 발급수수료 등 국가 또는 공공단체가 부과하는 부담금) - 전기요금, 도시가스요금, 아파트관리비, 자동납부서비스 이용수수료 - 초·중·고교 학교납입금, 대학·대학원 등록금 납부 결제건 - 상품권 등 현금성 유가증권 구매 및 선불카드 충전금액 - 건강보험, 국민연금, 고용보험, 산재보험 및 장애인 고용부담금 - 고속도로 통행요금, 고속버스 이용금액(차내 단말기 및 고속버스 앱 결제 포함) - 당사의 모든 할인서비스 및 무이자할부 이용금액 - 에너지플러스카드 Edition2 이용금액만 인정되며, 그 외 다른 현대카드 이용금액 합산 불가  할인 한도 - GS칼텍스 이용금액 : 전월 이용금액 30만원 이상 시 월 2만원, 전월 이용금액 70만원 이상 시 월 4만원 - Mobility 업종 이용금액 : 전월 이용금액 30만원 이상 시 월 5천원, 전월 이용금액 70만원 이상 시 월 1만원   * GS칼텍스 이용금액과 Mobility 업종 이용금액의 월 할인한도는 각각 적용됨   * 월 할인한도 산정 기간 : 매월 1일~말일  할인 시기 - 청구 할인 : 매월 이용대금 결제 시 할인  할인 제외 대상 - 상품권 등 현금성 유가증권 구매 및 선불카드 구매·충전금액, 매출취소금액, 당사의 모든 할인서비스 및 무이자할부 이용금액  기타 기준 - 모든 가맹점 및 업종은 현대카드 가맹점 등록 및 업종 분류 기준 - 할인 혜택은 결제 순서가 아닌 현대카드 매출전표 접수 순서에 따라 적용 - 이미 할인 적용된 결제 건을 취소하더라도 당사에 해당 매출취소가 접수되기 전에는 월 할인한도 초과 이용금액분은 혜택 적용 제외(매출취소 접수 후 월 할인한도 복원 가능) - 상품 및 서비스 관련 자세한 내용은 현대카드 홈페이지(www",,,,,,,,,
523,200,올마이쇼핑 카드 (해외),롯데카드,https://d1c5n4ri2guedi.cloudfront.net/card/200/card_img/20420/200card.png,https://card-gorilla.com/card/detail/200,,,,,,,"ALL MY SHOPPING 카드 쇼핑 업종 대상 - 오프라인 : 전국 모든 백화점, 마트, 슈퍼, 아울렛, 면세점, 편의점",,,,,,
524,82,우리 XGOLF 카드,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/82/card_img/20164/82card.png,https://card-gorilla.com/card/detail/82,,,,,,,"Well Living: 백화점, 온라인 쇼핑, 대형할인점(이마트, 롯데마트, 홈플러스) 모아포인트 1% 적립 적립 대상 업종(가맹점)",Well Living: 병원(동물병원 포함) 모아포인트 1.5% 적립,,Well Living: 이동통신 모아포인트 1.5% 적립 적립 대상 업종(가맹점),,"Enjoy Living: 해외, 면세점, 여행사 ,항공사 모아포인트 1.8% 적립 적립 대상 업종(가맹점)",
525,89,우리Most카드,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/89/card_img/20242/89card.png,https://card-gorilla.com/card/detail/89,,,,"Most주유소 리터당 최대 200원 청구할인(SK주유소는 최대 80원 청구할인) - 건당 최대 이용액 10만원, 월 최대 이용액 30만원 까지 - LPG충전소 포함 전월이용금액 Most주유소 SK주유소 월할인한도 30만원 이상~100만원 미만 140원/L 60원/L 20,000원 100만원 이상 200원/L 80원/L 30,000원 - Most주유소는 SK네트웍스 직영주유소를 포함한 Most 브랜드 주유소이며, 자세한 내용은 Most App 또는 Most 홈페이지(http://clubmost com) 참조 - 청구할인은 카드 사용일의 SK에너지 주간 공시 휘발유가 기준 적용 - 경유 및 LPG충전은 SK에너지 주간 공시 휘발유가 기준으로 환산하여 적용 - 주유소(충전소) 내 세차, 요소수 등 주유(충전) 외 이용금액은 할인 제외 - 주유할인은 휘발유, 경유, LPG에 한해 적용되며 등유 등 타 유종은 적용되지 않음",,,,,,,"CLUB Most 멤버십 서비스 - CLUB Most는 SK네트웍스에서 운영하는 멤버십 서비스로 주유, 세차, 정비, 렌트 등 다양한 Mobility 관련 서비스를 제공",,
526,81,위메프 우리카드,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/81/card_img/20163/81card.png,https://card-gorilla.com/card/detail/81,"편의점 업종 10% 청구 할인 - 통합 월 5천원 한도(편의점/스타벅스 할인 서비스) - 전월 국내가맹점 이용금액 30만원 이상 시 제공 - 무이자할부 이용금액, 상품권 구매 및 선불카드 구매/충전금액은 할인 제외 - 백화점, 대형할인점, 미군부대 등 일부 입점매장은 할인 제외 - 할인 업종/가맹점은 우리카드 전산상 등록 기준임","스타벅스(사이렌오더 포함) 50% 청구 할인 - 통합 월 5천원 한도(스타벅스/편의점 할인 서비스) - 전월 국내가맹점 이용금액 30만원 이상 시 제공 - 무이자할부 이용금액, 상품권 구매 및 선불카드 구매/충전금액은 할인 제외 - 백화점, 대형할인점, 미군부대 등 일부 입점매장은 할인 제외 - 할인 업종/가맹점은 우리카드 전산상 등록 기준임",,,,,,,,,,,
527,779,위메프페이 신용카드,KB국민카드,https://d1c5n4ri2guedi.cloudfront.net/card/779/card_img/22253/779card.png,https://card-gorilla.com/card/detail/779,,,,,,,위메프/위메프오 적립 - 위메프 2% 적립,,,,,,
528,77,위비멤버스카드,우리카드,https://d1c5n4ri2guedi.cloudfront.net/card/77/card_img/20159/77card.png,https://card-gorilla.com/card/detail/77,,"스타벅스, 이디야, 폴바셋 10% 할인 - 통합 월 1회, 연 10회 제공 (결제건당 1천원까지 할인) - 커피브랜드의 상품권, 선불카드 구입 / 충전 등의 이용금액은 할인 제외  - 백화점 / 대형할인점 내 매장, 미군부대 매장 제외  - 전월 국내 가맹점 이용금액 30만원 이상 시 제공 (가족카드도 서비스 제공을 위해서는 실적 충족 필요)",치킨/피자 브랜드 10% 청구할인 - 치킨 10% 할인,,"전국 영화관 12,000원 이상 결제 시 3,000원 할인 - 통합 월 1회, 연 6회 제공 - 예매대행사이트를 통한 예매 시 할인 제외 - 전월 국내 가맹점 이용금액 30만원 이상 시 제공 (가족카드도 서비스 제공을 위해서는 실적 충족 필요)",,"대형할인점, 면세점 1.5% 위비꿀머니 적립(결제건당 1만원 이상 시 적립) 위비마켓 2% 위비꿀머니 적립(결제건당 1만원 이상 시 적립)",병의원 1.5% 위비꿀머니 적립(결제건당 1만원 이상 시 적립) 적립대상 가맹점 적립률 적립 한도,학원 1.5% 위비꿀머니 적립(결제건당 1만원 이상 시 적립) 적립대상 가맹점 적립률 적립 한도,이동통신 1.5% 위비꿀머니 적립(결제건당 1만원 이상 시 적립) 적립대상 가맹점 적립률 적립 한도,,프리미엄 투어 서비스  - 전월 국내가맹점 이용금액 30만원 이상 시 제공(가족카드도 서비스 제공을 위해서는 실적 충족 필요) ,
529,2466,이디야 하나카드,하나카드,https://d1c5n4ri2guedi.cloudfront.net/card/2466/card_img/28184/2466card.png,https://card-gorilla.com/card/detail/2466,,이디야커피 청구할인 구분 대상 가맹점 할인율 월 할인한도 지난달 이용금액 10만원 미만 지난달 이용금액 10만원 이상 원큐페이 결제 이디야커피 50% 5천원 1만원 그 외 결제 20%  - 할인 대상 가맹점 : 이디야커피 공식 오프라인 매장(이디야커피랩 포함) 또는 이디야 멤버스 App 이디야커피 청구할인 구분 대상 가맹점 할인율 월 할인한도 지난달 이용금액 10만원 미만 지난달 이용금액 10만원 이상 원큐페이 결제 이디야커피 50% 5천원 1만원 그 외 결제 20%  - 할인 대상 가맹점 : 이디야커피 공식 오프라인 매장(이디야커피랩 포함) 또는 이디야 멤버스 App 이용 시 할인 - 할인 제외 가맹점 : 이디야커피 오프라인 매장에서 기프트카드(선불카드) 구매/충전 및 대형시설(백화점/할인점/아울렛/쇼핑몰/ 휴게소/ 공항/호텔/리조트/역사)입점점포 이용 시 할인 제외 - 최초 카드 사용등록일로부터 다음달 말일까지는 지난달 카드 실적 10만원 미만이어도 10만원 기준으로 서비스 제공,,,,,,,,,,,교통 5% 청구할인 구분 대상 가맹점 할인율 할인한도
